Caption,Baseline_Method,Chosen_Method
A 2D animine monkey is performing side somersaults on the street.,no_prune,draw
A 2D animine monkey is performing side somersaults on the street.,streamv2v,prune0.149
A 2D animine monkey is performing side somersaults on the street.,streamdiffusion,prune0.149
A 2D animine monkey is performing side somersaults on the street.,controlvideo,prune0.149
A animine style mythical Griffin made of golden flames flapping its wings. It has an red eyes and wh,no_prune,draw
A animine style mythical Griffin made of golden flames flapping its wings. It has an red eyes and wh,streamv2v,prune0.149
A animine style mythical Griffin made of golden flames flapping its wings. It has an red eyes and wh,streamdiffusion,prune0.149
A animine style mythical Griffin made of golden flames flapping its wings. It has an red eyes and wh,controlvideo,prune0.149
"A animine styled vampire with long white teeth, scales and textures turning its head. It has a red e",no_prune,no_prune
"A animine styled vampire with long white teeth, scales and textures turning its head. It has a red e",streamv2v,prune0.149
"A animine styled vampire with long white teeth, scales and textures turning its head. It has a red e",streamdiffusion,prune0.149
"A animine styled vampire with long white teeth, scales and textures turning its head. It has a red e",controlvideo,prune0.149
A beautiful blonde woman with blue eyes wearing is performing the moonwalk. Simple dark background.,no_prune,draw
A beautiful blonde woman with blue eyes wearing is performing the moonwalk. Simple dark background.,streamv2v,prune0.149
A beautiful blonde woman with blue eyes wearing is performing the moonwalk. Simple dark background.,streamdiffusion,prune0.149
A beautiful blonde woman with blue eyes wearing is performing the moonwalk. Simple dark background.,controlvideo,prune0.149
"A beautifully detailed anime girl with bright red hair executing a graceful spin. As she turns, her ",no_prune,draw
"A beautifully detailed anime girl with bright red hair executing a graceful spin. As she turns, her ",streamv2v,prune0.149
"A beautifully detailed anime girl with bright red hair executing a graceful spin. As she turns, her ",streamdiffusion,prune0.149
"A beautifully detailed anime girl with bright red hair executing a graceful spin. As she turns, her ",controlvideo,prune0.149
"A classic oil painting of a nobleman sitting for a portrait. Visible brushstrokes, rich canvas textu",no_prune,draw
"A classic oil painting of a nobleman sitting for a portrait. Visible brushstrokes, rich canvas textu",streamv2v,prune0.149
"A classic oil painting of a nobleman sitting for a portrait. Visible brushstrokes, rich canvas textu",streamdiffusion,prune0.149
"A classic oil painting of a nobleman sitting for a portrait. Visible brushstrokes, rich canvas textu",controlvideo,controlvideo
A female soccerball player in a professional jersey spinning a basket ball on her finger. During the,no_prune,draw
A female soccerball player in a professional jersey spinning a basket ball on her finger. During the,streamv2v,prune0.149
A female soccerball player in a professional jersey spinning a basket ball on her finger. During the,streamdiffusion,prune0.149
A female soccerball player in a professional jersey spinning a basket ball on her finger. During the,controlvideo,prune0.149
A fluffy giant panda wearing a backwards baseball cap performing a windmill breakdance move in a bam,no_prune,prune0.149
A fluffy giant panda wearing a backwards baseball cap performing a windmill breakdance move in a bam,streamv2v,prune0.149
A fluffy giant panda wearing a backwards baseball cap performing a windmill breakdance move in a bam,streamdiffusion,prune0.149
A fluffy giant panda wearing a backwards baseball cap performing a windmill breakdance move in a bam,controlvideo,prune0.149
A futuristic cyborg with glowing neon circuitry performing a power move breakdance spin on a wet pav,no_prune,prune0.149
A futuristic cyborg with glowing neon circuitry performing a power move breakdance spin on a wet pav,streamv2v,prune0.149
A futuristic cyborg with glowing neon circuitry performing a power move breakdance spin on a wet pav,streamdiffusion,prune0.149
A futuristic cyborg with glowing neon circuitry performing a power move breakdance spin on a wet pav,controlvideo,prune0.149
